[2025-08-19 17:36:14] [INFO    ] discord.client: logging in using static token
[2025-08-19 17:36:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-08-19 17:36:15] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-08-19 17:36:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1407321487827800085', 'username': 'project_bot', 'avatar': None, 'discriminator': '7517', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-08-19 17:36:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-08-19 17:36:15] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-08-19 17:36:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1407321487827800085', 'name': 'project_bot', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1407321487827800085', 'username': 'project_bot', 'avatar': None, 'discriminator': '7517', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '7f925f464635153d6550c0bce2da2e2e2bc20c0d36986568f8f3373af3d59c48', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '834342092259459152', 'username': 'ganesan_p', 'avatar': '7ead884cd55a983cf2734068d1519eb5', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': None, 'global_name': 'Ganesan', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-08-19 17:36:15] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-08-19 17:36:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-p4hs",{"micros":0.0}]']}}
[2025-08-19 17:36:15] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-08-19 17:36:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-08-19 17:36:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'project_bot', 'primary_guild': None, 'mfa_enabled': False, 'id': '1407321487827800085', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '7517', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '23fc620dd8d09123b69c793ac1e5ca73', 'resume_gateway_url': 'wss://gateway-us-east1-d.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1277988638185099374'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'singapore', 'dubai', 'hongkong', 'tel-aviv'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1407321487827800085', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-d-p4hs",{"micros":241317,"calls":["id_created",{"micros":427,"calls":[]},"session_lookup_time",{"micros":6680,"calls":[]},"session_lookup_finished",{"micros":17,"calls":[]},"discord-sessions-prd-2-180",{"micros":233571,"calls":["start_session",{"micros":207698,"calls":["discord-api-rpc-7b85c6597b-f998w",{"micros":140686,"calls":["get_user",{"micros":7361},"get_guilds",{"micros":3791},"send_scheduled_deletion_message",{"micros":11},"guild_join_requests",{"micros":1317},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":21628},"apex_experiments",{"micros":22970},"user_activities",{"micros":5},"played_application_ids",{"micros":4}]}]},"starting_guild_connect",{"micros":66,"calls":[]},"presence_started",{"micros":4638,"calls":[]},"guilds_started",{"micros":69,"calls":[]},"lobbies_started",{"micros":0,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":21082,"calls":[]},"connect_finished",{"micros":21088,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-08-19 17:36:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-08-19 17:36:16] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 23fc620dd8d09123b69c793ac1e5ca73).
[2025-08-19 17:36:16] [DEBUG   ] discord.client: Dispatching event connect
